,Iteration,Time,Fitness,activation,hidden_layer_sizes
0,0,8.58000000008019e-05,0.9891070654347568,tanh,"(10, 10, 10)"
1,1,0.10059329999999989,0.9891070654347568,tanh,"(10, 10, 10)"
2,2,0.18191389999999785,0.9163631474288778,tanh,"(10, 10, 10)"
3,3,0.23313389999999856,0.9002426970853882,tanh,"(10, 10, 10)"
4,4,0.2842497999999978,0.8942991378247731,tanh,"(10, 10, 10)"
5,5,0.3372056999999984,0.8905001182858673,tanh,"(10, 10, 10)"
6,6,0.409359000000002,0.887189456739277,tanh,"(10, 10, 10)"
7,7,0.4687933000000015,0.8847172977345255,tanh,"(10, 10, 10)"
8,8,0.5483825999999965,0.8822556551737638,tanh,"(10, 10, 10)"
9,9,0.6204777999999962,0.8797995911527626,tanh,"(10, 10, 10)"
10,10,0.6862500000000011,0.8782993132045424,tanh,"(10, 10, 10)"
11,11,0.7602045000000004,0.8768512306959736,tanh,"(10, 10, 10)"
12,12,0.8329554999999971,0.875398443686901,tanh,"(10, 10, 10)"
13,13,0.9042403999999991,0.8744473425583581,tanh,"(10, 10, 10)"
14,14,0.9792977999999977,0.8722260712604446,tanh,"(10, 10, 10)"
15,15,1.0623183000000012,0.8715744877998771,tanh,"(10, 10, 10)"
16,16,1.1416405000000012,0.870220837054815,tanh,"(10, 10, 10)"
17,17,1.1934120000000021,0.868793136251453,tanh,"(10, 10, 10)"
18,18,1.244909700000001,0.8673074360831858,tanh,"(10, 10, 10)"
19,19,1.2959458999999995,0.8666712031705001,tanh,"(10, 10, 10)"
20,20,1.346746699999997,0.8654249079440682,tanh,"(10, 10, 10)"
21,21,1.4228115999999957,0.8641131773810953,tanh,"(10, 10, 10)"
22,22,1.5736301000000026,0.8628339286257681,tanh,"(10, 10, 10)"
23,23,1.6851091999999994,0.8630681593962024,tanh,"(10, 10, 10)"
24,24,1.7548190999999989,0.8613342475369209,tanh,"(10, 10, 10)"
25,25,1.8176289999999966,0.8599185797328429,tanh,"(10, 10, 10)"
26,26,1.8824013999999991,0.8590324375226241,tanh,"(10, 10, 10)"
27,27,1.9329116999999982,0.8585962906188027,tanh,"(10, 10, 10)"
28,28,1.9833094999999972,0.8577161053668173,tanh,"(10, 10, 10)"
29,29,2.033723199999997,0.8564214220149485,tanh,"(10, 10, 10)"
30,30,2.0935805000000016,0.8554475412296335,tanh,"(10, 10, 10)"
31,31,2.1488524999999967,0.8550502939786111,tanh,"(10, 10, 10)"
32,32,2.198917199999997,0.8540563647787499,tanh,"(10, 10, 10)"
33,33,2.249109699999998,0.8536637314819538,tanh,"(10, 10, 10)"
34,34,2.299366499999998,0.8532058526286244,tanh,"(10, 10, 10)"
35,35,2.360597999999996,0.8527567501941534,tanh,"(10, 10, 10)"
36,36,2.4504513999999986,0.8523076184741925,tanh,"(10, 10, 10)"
37,37,2.5688806,0.8521615449486751,tanh,"(10, 10, 10)"
38,38,2.7177427000000023,0.8511818703357493,tanh,"(10, 10, 10)"
39,39,2.8560456000000016,0.8511637442151636,tanh,"(10, 10, 10)"
40,40,2.972928699999997,0.851088921135032,tanh,"(10, 10, 10)"
41,41,3.1536220999999998,0.8501347634410246,tanh,"(10, 10, 10)"
42,42,3.2656848000000025,0.8499333301706977,tanh,"(10, 10, 10)"
43,43,3.3486766999999986,0.8494669120540275,tanh,"(10, 10, 10)"
44,44,3.4387282,0.848789763798075,tanh,"(10, 10, 10)"
45,45,3.5249100999999996,0.8492170241291451,tanh,"(10, 10, 10)"
46,46,3.6072884999999957,0.8481604426953427,tanh,"(10, 10, 10)"
47,47,3.6982511000000002,0.8481147189390144,tanh,"(10, 10, 10)"
48,48,3.7830073000000013,0.8475205731947356,tanh,"(10, 10, 10)"
49,49,3.852101900000001,0.8472321880286252,tanh,"(10, 10, 10)"
50,50,3.9296883000000022,0.8468992984506258,tanh,"(10, 10, 10)"
51,51,3.995707799999998,0.8468552399061753,tanh,"(10, 10, 10)"
52,52,4.077389799999999,0.8468157624695939,tanh,"(10, 10, 10)"
53,53,4.149222000000002,0.8469197915816935,tanh,"(10, 10, 10)"
54,54,4.218921199999997,0.8457306939258549,tanh,"(10, 10, 10)"
55,55,4.2910775,0.8461889669274097,tanh,"(10, 10, 10)"
56,56,4.367956999999997,0.8453128853768248,tanh,"(10, 10, 10)"
57,57,4.432239799999998,0.8455406572521316,tanh,"(10, 10, 10)"
58,58,4.495578799999997,0.8454931800047227,tanh,"(10, 10, 10)"
59,59,4.571565200000002,0.8446227252032907,tanh,"(10, 10, 10)"
60,60,4.6360946,0.8445053676823918,tanh,"(10, 10, 10)"
61,61,4.698346999999998,0.8443413584541513,tanh,"(10, 10, 10)"
62,62,4.777135100000002,0.8441116161565055,tanh,"(10, 10, 10)"
63,63,4.8576393999999965,0.8439654968269913,tanh,"(10, 10, 10)"
64,64,4.944020099999996,0.8435097508529787,tanh,"(10, 10, 10)"
65,65,5.014963299999998,0.8435285581923585,tanh,"(10, 10, 10)"
66,66,5.069162399999996,0.8428926942583926,tanh,"(10, 10, 10)"
67,67,5.137718100000001,0.8423916021524765,tanh,"(10, 10, 10)"
68,68,5.195675299999998,0.8425407398255889,tanh,"(10, 10, 10)"
69,69,5.260514100000002,0.8422713740235386,tanh,"(10, 10, 10)"
70,70,5.3312383000000025,0.8423621795611678,tanh,"(10, 10, 10)"
71,71,5.3890958,0.8417669222498224,tanh,"(10, 10, 10)"
72,72,5.440407100000002,0.8421221864349013,tanh,"(10, 10, 10)"
73,73,5.507463199999997,0.8413687834555974,tanh,"(10, 10, 10)"
74,74,5.568629600000001,0.8413520836518107,tanh,"(10, 10, 10)"
75,75,5.628371000000001,0.8413670454599835,tanh,"(10, 10, 10)"
76,76,5.689003700000001,0.8412598719917207,tanh,"(10, 10, 10)"
77,77,5.744177100000002,0.8413293422228345,tanh,"(10, 10, 10)"
78,78,5.810253799999998,0.8409643218546563,tanh,"(10, 10, 10)"
79,79,5.868367299999996,0.8409495261228283,tanh,"(10, 10, 10)"
80,80,5.929772,0.8403939154067324,tanh,"(10, 10, 10)"
81,81,5.986221499999999,0.8405177394563976,tanh,"(10, 10, 10)"
82,82,6.048092400000002,0.8393683762444745,tanh,"(10, 10, 10)"
83,83,6.121833600000002,0.8397199663571019,tanh,"(10, 10, 10)"
84,84,6.2064293999999975,0.8390621845880938,tanh,"(10, 10, 10)"
85,85,6.258870600000002,0.8392458421878607,tanh,"(10, 10, 10)"
86,86,6.310178799999996,0.8398908853198189,tanh,"(10, 10, 10)"
87,87,6.367070099999999,0.838300865509246,tanh,"(10, 10, 10)"
88,88,6.443486899999996,0.8389068711591148,tanh,"(10, 10, 10)"
89,89,6.506309099999996,0.8386847111174013,tanh,"(10, 10, 10)"
90,90,6.567869999999999,0.8386744020625801,tanh,"(10, 10, 10)"
91,91,6.639112400000002,0.8389376186947155,tanh,"(10, 10, 10)"
92,92,6.7248953,0.8385826531574784,tanh,"(10, 10, 10)"
93,93,6.827987899999997,0.837885115916329,tanh,"(10, 10, 10)"
94,94,6.884945099999996,0.8376239010908587,tanh,"(10, 10, 10)"
95,95,6.945288099999999,0.8382420163276324,tanh,"(10, 10, 10)"
96,96,7.000948600000001,0.8376553032087507,tanh,"(10, 10, 10)"
97,97,7.056267499999997,0.8377561156925462,tanh,"(10, 10, 10)"
98,98,7.125514299999999,0.8377079373381009,tanh,"(10, 10, 10)"
99,99,7.1843699,0.8374338126590384,tanh,"(10, 10, 10)"
100,100,7.2398922,0.8374244168462888,tanh,"(10, 10, 10)"
101,101,7.318995600000001,0.8373190837385479,tanh,"(10, 10, 10)"
102,102,7.377402799999999,0.8372058095186085,tanh,"(10, 10, 10)"
103,103,7.481880599999997,0.837190511500202,tanh,"(10, 10, 10)"
104,104,7.533359499999996,0.8369953012509318,tanh,"(10, 10, 10)"
105,105,7.587226399999999,0.8363964905105473,tanh,"(10, 10, 10)"
106,106,7.639832800000001,0.8370116504582624,tanh,"(10, 10, 10)"
107,107,7.692896699999999,0.8365212280497313,tanh,"(10, 10, 10)"
108,108,7.755143099999998,0.8359142725544958,tanh,"(10, 10, 10)"
109,109,7.818258,0.8363146643029655,tanh,"(10, 10, 10)"
110,110,7.873087599999998,0.8363647312996808,tanh,"(10, 10, 10)"
111,111,7.932265199999996,0.8363443882971423,tanh,"(10, 10, 10)"
112,112,7.987697300000001,0.8354583354459482,tanh,"(10, 10, 10)"
113,113,8.042183000000001,0.8360187804181037,tanh,"(10, 10, 10)"
114,114,8.135199999999998,0.83579818337816,tanh,"(10, 10, 10)"
115,115,8.197819099999997,0.8353503812881086,tanh,"(10, 10, 10)"
116,116,8.257872200000001,0.8359438540260817,tanh,"(10, 10, 10)"
117,117,8.321875900000002,0.8356433206411649,tanh,"(10, 10, 10)"
118,118,8.3937593,0.8359948904368308,tanh,"(10, 10, 10)"
119,119,8.447248099999996,0.8352479060465198,tanh,"(10, 10, 10)"
120,120,8.499122999999997,0.8351482283367372,tanh,"(10, 10, 10)"
121,121,8.571750399999999,0.8347470175230265,tanh,"(10, 10, 10)"
122,122,8.623745499999998,0.8347963327577504,tanh,"(10, 10, 10)"
123,123,8.6910801,0.8350289537644439,tanh,"(10, 10, 10)"
124,124,8.751296599999996,0.8351285620236052,tanh,"(10, 10, 10)"
125,125,8.826290299999997,0.8349484739010014,tanh,"(10, 10, 10)"
126,126,8.9011286,0.8348539674864512,tanh,"(10, 10, 10)"
127,127,8.957390400000001,0.8341446175162134,tanh,"(10, 10, 10)"
128,128,9.015313300000003,0.8343317303132647,tanh,"(10, 10, 10)"
129,129,9.077860399999999,0.8337123987496596,tanh,"(10, 10, 10)"
130,130,9.1423725,0.8342379787252339,tanh,"(10, 10, 10)"
131,131,9.222341800000002,0.8341026537930835,tanh,"(10, 10, 10)"
132,132,9.307407699999999,0.8338845252338863,tanh,"(10, 10, 10)"
133,133,9.371685,0.8340762350309405,tanh,"(10, 10, 10)"
134,134,9.4289482,0.8331159545722048,tanh,"(10, 10, 10)"
135,135,9.4920653,0.8336141216006732,tanh,"(10, 10, 10)"
136,136,9.563865200000002,0.8341258252057682,tanh,"(10, 10, 10)"
137,137,9.626713299999999,0.8335616211679774,tanh,"(10, 10, 10)"
138,138,9.682820800000002,0.8338401175306286,tanh,"(10, 10, 10)"
139,139,9.7409684,0.8332460659649864,tanh,"(10, 10, 10)"
140,140,9.825334399999996,0.8328664533245815,tanh,"(10, 10, 10)"
141,141,9.883442799999997,0.8337793952256699,tanh,"(10, 10, 10)"
142,142,9.943618999999998,0.8336758304709029,tanh,"(10, 10, 10)"
143,143,10.0018131,0.8330785269729084,tanh,"(10, 10, 10)"
144,144,10.087632999999997,0.8329615579705971,tanh,"(10, 10, 10)"
145,145,10.156642499999997,0.8331632786434634,tanh,"(10, 10, 10)"
146,146,10.208989199999998,0.8329655247189849,tanh,"(10, 10, 10)"
147,147,10.270470699999997,0.8326742585036844,tanh,"(10, 10, 10)"
148,148,10.329928500000001,0.8321611825409472,tanh,"(10, 10, 10)"
149,149,10.385498300000002,0.8319823137317272,tanh,"(10, 10, 10)"
150,150,10.437732499999996,0.8320135507146154,tanh,"(10, 10, 10)"
151,151,10.495606199999997,0.8321767755665727,tanh,"(10, 10, 10)"
152,152,10.564673399999997,0.8323873509511084,tanh,"(10, 10, 10)"
153,153,10.635646299999998,0.832398888509072,tanh,"(10, 10, 10)"
154,154,10.697709099999997,0.8313769208686216,tanh,"(10, 10, 10)"
155,155,10.7621611,0.8320530574592725,tanh,"(10, 10, 10)"
156,156,10.8336617,0.8321146064226012,tanh,"(10, 10, 10)"
157,157,10.888524999999994,0.8326675078752724,tanh,"(10, 10, 10)"
158,158,10.940266099999995,0.8319590924163883,tanh,"(10, 10, 10)"
159,159,11.012914700000003,0.8313523832992858,tanh,"(10, 10, 10)"
160,160,11.092549600000005,0.8315623136770232,tanh,"(10, 10, 10)"
161,161,11.156857499999994,0.8314255816317918,tanh,"(10, 10, 10)"
162,162,11.217214300000002,0.8316526658768789,tanh,"(10, 10, 10)"
163,163,11.289686699999997,0.8309117754156539,tanh,"(10, 10, 10)"
164,164,11.359664399999993,0.8304991935167587,tanh,"(10, 10, 10)"
165,165,11.435113499999993,0.8313011438255047,tanh,"(10, 10, 10)"
166,166,11.527523899999998,0.8311713664374901,tanh,"(10, 10, 10)"
167,167,11.5997494,0.8307754855201498,tanh,"(10, 10, 10)"
168,168,11.6721808,0.8306005885901558,tanh,"(10, 10, 10)"
169,169,11.755339299999996,0.8305133884291261,tanh,"(10, 10, 10)"
170,170,11.836622799999994,0.8303619954256837,tanh,"(10, 10, 10)"
171,171,11.920800300000003,0.8316009992094069,tanh,"(10, 10, 10)"
172,172,12.005620900000004,0.8309115531610425,tanh,"(10, 10, 10)"
173,173,12.061592799999993,0.8304955236376438,tanh,"(10, 10, 10)"
174,174,12.119680199999998,0.8301415127231324,tanh,"(10, 10, 10)"
175,175,12.172166600000004,0.8306455119875659,tanh,"(10, 10, 10)"
176,176,12.236771699999998,0.83015359503777,tanh,"(10, 10, 10)"
177,177,12.302378100000006,0.8299528200399687,tanh,"(10, 10, 10)"
178,178,12.353359300000001,0.8304012347236215,tanh,"(10, 10, 10)"
179,179,12.406045600000006,0.8301189166300426,tanh,"(10, 10, 10)"
180,180,12.4840905,0.8301100759644015,tanh,"(10, 10, 10)"
181,181,12.570064600000002,0.8305421527251742,tanh,"(10, 10, 10)"
182,182,12.638964699999995,0.829856846403241,tanh,"(10, 10, 10)"
183,183,12.723300000000002,0.830206900227533,tanh,"(10, 10, 10)"
184,184,12.795611000000001,0.8296349132981303,tanh,"(10, 10, 10)"
185,185,12.850797500000006,0.8298143070855061,tanh,"(10, 10, 10)"
186,186,12.907684499999995,0.8299738895099351,tanh,"(10, 10, 10)"
187,187,12.982268999999995,0.830031053370648,tanh,"(10, 10, 10)"
188,188,13.043759099999995,0.8295646425240284,tanh,"(10, 10, 10)"
189,189,13.095907399999994,0.8296069839617152,tanh,"(10, 10, 10)"
190,190,13.161510599999993,0.828840638327917,tanh,"(10, 10, 10)"
191,191,13.223114599999995,0.8292007354001387,tanh,"(10, 10, 10)"
192,192,13.274967800000006,0.8291430991664348,tanh,"(10, 10, 10)"
193,193,13.3260917,0.8294051484875793,tanh,"(10, 10, 10)"
194,194,13.383396100000006,0.8293835284235095,tanh,"(10, 10, 10)"
195,195,13.443403800000006,0.8284451085178279,tanh,"(10, 10, 10)"
196,196,13.502078599999997,0.8291878279634021,tanh,"(10, 10, 10)"
197,197,13.555352199999994,0.8286599878343196,tanh,"(10, 10, 10)"
198,198,13.617149000000005,0.8288919610636464,tanh,"(10, 10, 10)"
199,199,13.681463400000005,0.828466408645445,tanh,"(10, 10, 10)"
