,Iteration,Time,Fitness,Temperature,max_iters
0,0,0.0001250999998774205,2617.338979290928,10,8192
1,1,0.0011939999999412976,2675.3070238397345,10,8192
2,2,0.014821900000015376,2693.008891178835,10,8192
3,3,0.024845299999924464,2693.008891178835,10,8192
4,4,0.024967299999843817,2984.5950288782037,10,8192
5,5,0.03491459999986546,3026.2239543412757,10,8192
6,6,0.035073300000021845,3026.2239543412757,10,8192
7,7,0.035184699999945224,3026.2239543412757,10,8192
8,8,0.0352960999998686,3012.148360908774,10,8192
9,9,0.044586199999912424,3012.148360908774,10,8192
10,10,0.04470379999997931,3028.42000006898,10,8192
11,11,0.044854699999859804,3028.469262534803,10,8192
12,12,0.04499929999997221,3028.469262534803,10,8192
13,13,0.045102699999915785,3033.6439216106164,10,8192
14,14,0.04524390000005951,3033.6439216106164,10,8192
15,15,0.04542019999985314,3105.8906358889967,10,8192
16,16,0.045559400000001915,3105.8906358889967,10,8192
17,17,0.055959999999913634,3130.430556466656,10,8192
18,18,0.05612729999984367,3130.430556466656,10,8192
19,19,0.05623790000004192,3130.430556466656,10,8192
20,20,0.05638909999993302,3130.430556466656,10,8192
21,21,0.056493699999919045,3130.430556466656,10,8192
22,22,0.056597699999883844,3130.430556466656,10,8192
23,23,0.05669910000005984,3130.430556466656,10,8192
24,24,0.05679989999998725,3130.430556466656,10,8192
25,25,0.05690069999991465,3130.430556466656,10,8192
26,26,0.05700309999997444,3161.1744923162873,10,8192
27,27,0.05714369999986957,3169.412675234154,10,8192
28,28,0.057309399999894595,3194.3254816349704,10,8192
29,29,0.05746369999997114,3194.3254816349704,10,8192
30,30,0.05756610000003093,3194.3254816349704,10,8192
31,31,0.057667499999979555,3194.3254816349704,10,8192
32,32,0.05776709999986451,3249.916406116463,10,8192
33,33,0.06850579999991169,3249.916406116463,10,8192
34,34,0.06862980000005336,3249.916406116463,10,8192
35,35,0.06874199999992925,3249.916406116463,10,8192
36,36,0.06885089999991578,3263.9045963687245,10,8192
37,37,0.06899869999983821,3288.703930388445,10,8192
38,38,0.06914389999997184,3570.3075492216794,10,8192
39,39,0.06932499999993524,3570.3075492216794,10,8192
40,40,0.06942909999997937,3570.3075492216794,10,8192
41,41,0.06953269999985423,3570.3075492216794,10,8192
42,42,0.06963539999992463,3570.3075492216794,10,8192
43,43,0.06973760000005313,3728.6595578386373,10,8192
44,44,0.06987849999995888,3754.1257129226765,10,8192
45,45,0.07001869999999144,3754.1257129226765,10,8192
46,46,0.07012119999990318,3754.1257129226765,10,8192
47,47,0.07022359999996297,3754.1257129226765,10,8192
48,48,0.07039719999988847,3754.1257129226765,10,8192
49,49,0.07049830000005386,3754.1257129226765,10,8192
50,50,0.07059929999991255,3754.1257129226765,10,8192
51,51,0.07069959999989806,3754.1257129226765,10,8192
52,52,0.07079879999992045,3751.7053690520606,10,8192
53,53,0.07094280000001163,3751.7053690520606,10,8192
54,54,0.07104379999987032,3751.7053690520606,10,8192
55,55,0.07114439999986644,3751.7053690520606,10,8192
56,56,0.07124389999989944,3751.7053690520606,10,8192
57,57,0.07138269999995828,3751.7053690520606,10,8192
58,58,0.07148170000004939,3751.7053690520606,10,8192
59,59,0.07158179999987624,3751.7053690520606,10,8192
60,60,0.07168109999997796,3751.7053690520606,10,8192
61,61,0.07178019999992102,3750.199975605286,10,8192
62,62,0.07192510000004404,3769.3000318321215,10,8192
63,63,0.07206619999988106,3769.3000318321215,10,8192
64,64,0.07216769999990902,3769.3000318321215,10,8192
65,65,0.08275269999990087,3769.3000318321215,10,8192
66,66,0.08288210000000618,3788.8773335111077,10,8192
67,67,0.08303989999990335,3788.8773335111077,10,8192
68,68,0.08315019999986362,3788.8773335111077,10,8192
69,69,0.08325829999989764,3794.074867085703,10,8192
70,70,0.0834552999999687,3794.074867085703,10,8192
71,71,0.08359739999991689,3794.074867085703,10,8192
72,72,0.0837048999999297,3794.074867085703,10,8192
73,73,0.0838119000000006,3794.074867085703,10,8192
74,74,0.08391559999995479,3794.074867085703,10,8192
75,75,0.0840186000000358,3794.074867085703,10,8192
76,76,0.08412219999991066,3794.074867085703,10,8192
77,77,0.08422479999990173,3794.074867085703,10,8192
78,78,0.08441879999986668,3794.074867085703,10,8192
79,79,0.0845256000000063,3794.074867085703,10,8192
80,80,0.08466550000002826,3794.074867085703,10,8192
81,81,0.08478479999985211,3794.074867085703,10,8192
82,82,0.0848879999998644,3794.074867085703,10,8192
83,83,0.08499000000006163,3794.074867085703,10,8192
84,84,0.08509170000002086,3794.074867085703,10,8192
85,85,0.08519320000004882,3794.074867085703,10,8192
86,86,0.08530049999990297,3794.074867085703,10,8192
87,87,0.08540270000003147,3794.074867085703,10,8192
88,88,0.08550459999992199,3794.074867085703,10,8192
89,89,0.08560799999986557,3794.074867085703,10,8192
90,90,0.08570910000003096,3794.074867085703,10,8192
91,91,0.08581140000001142,3794.074867085703,10,8192
92,92,0.08591309999997065,3794.074867085703,10,8192
93,93,0.0860150999999405,3794.074867085703,10,8192
94,94,0.08611670000004779,3794.074867085703,10,8192
95,95,0.08621769999990647,3794.074867085703,10,8192
96,96,0.08632319999992433,3794.074867085703,10,8192
97,97,0.08642389999999978,3788.8773335111077,10,8192
98,98,0.08656959999984792,3788.8773335111077,10,8192
99,99,0.08667379999997138,3788.8773335111077,10,8192
100,100,0.086777100000063,3788.8773335111077,10,8192
101,101,0.08688039999992725,3788.8773335111077,10,8192
102,102,0.08698340000000826,3821.56253400093,10,8192
103,103,0.08712530000002516,3821.56253400093,10,8192
104,104,0.08722979999993186,3821.56253400093,10,8192
105,105,0.08740569999986292,3821.56253400093,10,8192
106,106,0.08750970000005509,3821.56253400093,10,8192
107,107,0.08761469999990368,3821.56253400093,10,8192
108,108,0.08771690000003218,3821.56253400093,10,8192
109,109,0.08782019999989643,3821.56253400093,10,8192
110,110,0.08792180000000371,3821.56253400093,10,8192
111,111,0.08802330000003167,3821.56253400093,10,8192
112,112,0.08812539999985347,3821.56253400093,10,8192
113,113,0.08822789999999259,3821.56253400093,10,8192
114,114,0.08833549999985735,3821.56253400093,10,8192
115,115,0.08843950000004952,3821.56253400093,10,8192
116,116,0.08854279999991377,3837.588684743562,10,8192
117,117,0.08868510000002061,3837.588684743562,10,8192
118,118,0.08878909999998541,3837.588684743562,10,8192
119,119,0.08889309999995021,3867.157473347883,10,8192
120,120,0.08903579999991962,3867.157473347883,10,8192
121,121,0.08914039999990564,3867.157473347883,10,8192
122,122,0.08924449999994977,3867.157473347883,10,8192
123,123,0.08942279999996572,3867.157473347883,10,8192
124,124,0.08952669999985119,3867.157473347883,10,8192
125,125,0.08963029999995342,3867.157473347883,10,8192
126,126,0.08973360000004504,3867.157473347883,10,8192
127,127,0.0898391000000629,3867.157473347883,10,8192
128,128,0.08994239999992715,3867.157473347883,10,8192
129,129,0.10214329999985239,3867.157473347883,10,8192
130,130,0.10229419999996026,3867.157473347883,10,8192
131,131,0.1024278999998387,3867.157473347883,10,8192
132,132,0.10254399999985253,3867.157473347883,10,8192
133,133,0.10265749999985019,3867.157473347883,10,8192
134,134,0.10276920000001155,3867.1733812922157,10,8192
135,135,0.10292110000000321,3867.1733812922157,10,8192
136,136,0.10303239999984726,3867.1733812922157,10,8192
137,137,0.10314199999993434,3867.1733812922157,10,8192
138,138,0.10325069999998959,3867.1733812922157,10,8192
139,139,0.10339920000001257,3867.1733812922157,10,8192
140,140,0.10350829999993039,3867.1733812922157,10,8192
141,141,0.10361620000003313,3867.1733812922157,10,8192
142,142,0.10372310000002471,3867.1733812922157,10,8192
143,143,0.10383009999986825,3867.1733812922157,10,8192
144,144,0.10393720000001849,3867.1733812922157,10,8192
145,145,0.10404359999984081,3867.1733812922157,10,8192
146,146,0.10415050000005976,3867.1733812922157,10,8192
147,147,0.10425789999999324,3867.1733812922157,10,8192
148,148,0.10440459999995255,3867.1733812922157,10,8192
149,149,0.10451319999992847,3867.1733812922157,10,8192
150,150,0.10462050000001,3867.1733812922157,10,8192
151,151,0.10472879999997531,3867.1733812922157,10,8192
152,152,0.1048519999999371,3867.1733812922157,10,8192
153,153,0.10496149999994486,3867.1733812922157,10,8192
154,154,0.10507089999987329,3867.1733812922157,10,8192
155,155,0.10518009999987044,3867.1733812922157,10,8192
156,156,0.10529569999994237,3867.1733812922157,10,8192
157,157,0.10540749999995569,3867.1733812922157,10,8192
158,158,0.10551759999998467,3867.1733812922157,10,8192
159,159,0.10562800000002426,3867.1733812922157,10,8192
160,160,0.10573799999997391,3891.0550365910303,10,8192
161,161,0.10588719999987006,3891.0550365910303,10,8192
162,162,0.10599779999984094,3891.0550365910303,10,8192
163,163,0.10610789999986991,3891.0550365910303,10,8192
164,164,0.10621779999996761,3891.0550365910303,10,8192
165,165,0.10633310000002894,3891.0550365910303,10,8192
166,166,0.10644279999996797,3891.0550365910303,10,8192
167,167,0.1065526999998383,3891.0550365910303,10,8192
168,168,0.10666300000002593,3891.0550365910303,10,8192
169,169,0.10677299999997558,3891.0550365910303,10,8192
170,170,0.10688269999991462,3891.0550365910303,10,8192
171,171,0.10699290000002293,3891.0550365910303,10,8192
172,172,0.10710339999991447,3891.0550365910303,10,8192
173,173,0.10721439999997529,3891.0550365910303,10,8192
174,174,0.10733329999993657,3891.0550365910303,10,8192
175,175,0.10744449999992867,3891.0550365910303,10,8192
176,176,0.10755519999997887,3891.0550365910303,10,8192
177,177,0.10766519999992852,3891.0550365910303,10,8192
178,178,0.10777549999988878,3891.0550365910303,10,8192
179,179,0.10788619999993898,3891.0550365910303,10,8192
180,180,0.10799599999995735,3891.0550365910303,10,8192
181,181,0.10810649999984889,3891.0550365910303,10,8192
182,182,0.10821689999988848,3891.0550365910303,10,8192
183,183,0.10837900000001355,3891.0550365910303,10,8192
184,184,0.10849050000001625,3891.0550365910303,10,8192
185,185,0.10860209999987092,3891.0550365910303,10,8192
186,186,0.10871359999987362,3891.0550365910303,10,8192
187,187,0.10882569999989755,3891.0550365910303,10,8192
188,188,0.1089375999999902,3891.0550365910303,10,8192
189,189,0.1090487999999823,3891.0550365910303,10,8192
190,190,0.10916069999984757,3891.0550365910303,10,8192
191,191,0.1092767999998614,3891.0550365910303,10,8192
192,192,0.10941279999997278,3891.0550365910303,10,8192
193,193,0.10952720000000227,3891.0550365910303,10,8192
194,194,0.10964049999984127,3891.0550365910303,10,8192
195,195,0.10975329999996575,3891.0550365910303,10,8192
196,196,0.10986559999992096,3891.0550365910303,10,8192
197,197,0.10997759999986556,3891.0550365910303,10,8192
198,198,0.1100899999999001,3891.0550365910303,10,8192
199,199,0.11020129999997152,3891.0550365910303,10,8192
200,200,0.11031899999989037,3891.0550365910303,10,8192
201,201,0.11043169999993552,3891.0550365910303,10,8192
202,202,0.11054889999991246,3891.0550365910303,10,8192
203,203,0.11066280000000006,3891.0550365910303,10,8192
204,204,0.11077660000000833,3891.0550365910303,10,8192
205,205,0.1108884999998736,3891.0550365910303,10,8192
206,206,0.11100099999998747,3892.746690079628,10,8192
207,207,0.11115479999989475,3892.746690079628,10,8192
208,208,0.11127369999985603,3892.746690079628,10,8192
209,209,0.11156200000004901,3892.746690079628,10,8192
210,210,0.1118552999998883,3892.746690079628,10,8192
211,211,0.11201619999997092,3892.746690079628,10,8192
212,212,0.1122714000000542,3892.746690079628,10,8192
213,213,0.11253569999985302,3892.746690079628,10,8192
214,214,0.11267120000002251,3892.746690079628,10,8192
215,215,0.11279049999984636,3892.746690079628,10,8192
216,216,0.11290800000006129,3892.746690079628,10,8192
217,217,0.11302409999984775,3892.746690079628,10,8192
218,218,0.11314160000006268,3892.746690079628,10,8192
219,219,0.1132698999999775,3892.746690079628,10,8192
220,220,0.11338890000001811,3892.746690079628,10,8192
221,221,0.11350640000000567,3892.746690079628,10,8192
222,222,0.11362349999990329,3892.746690079628,10,8192
223,223,0.11374060000002828,3892.746690079628,10,8192
224,224,0.11385700000005272,3892.746690079628,10,8192
225,225,0.11403300000006311,3892.746690079628,10,8192
226,226,0.1141711000000214,3892.746690079628,10,8192
227,227,0.11432379999996556,3892.746690079628,10,8192
228,228,0.11444879999999102,3892.746690079628,10,8192
229,229,0.11458509999988564,3892.746690079628,10,8192
230,230,0.11472119999984898,3892.746690079628,10,8192
231,231,0.11485369999991235,3892.746690079628,10,8192
232,232,0.11497020000001612,3892.746690079628,10,8192
233,233,0.11508589999994001,3892.746690079628,10,8192
234,234,0.11520470000004934,3892.746690079628,10,8192
235,235,0.1153842999999597,3892.746690079628,10,8192
236,236,0.11550339999985226,3892.746690079628,10,8192
237,237,0.11562149999986104,3892.746690079628,10,8192
238,238,0.11573849999990671,3892.746690079628,10,8192
239,239,0.11585530000002109,3892.746690079628,10,8192
240,240,0.11597149999988687,3892.746690079628,10,8192
241,241,0.11608769999998003,3892.746690079628,10,8192
242,242,0.11620399999992514,3892.746690079628,10,8192
243,243,0.11633050000000367,3892.746690079628,10,8192
244,244,0.11644639999985884,3892.746690079628,10,8192
245,245,0.11656219999986206,3892.746690079628,10,8192
246,246,0.11667839999995522,3892.746690079628,10,8192
247,247,0.11679419999995844,3892.746690079628,10,8192
248,248,0.11690909999992982,3892.746690079628,10,8192
249,249,0.11702439999999115,3892.746690079628,10,8192
250,250,0.1171411000000262,3892.746690079628,10,8192
251,251,0.11726929999986169,3892.746690079628,10,8192
252,252,0.1173874999999498,3892.746690079628,10,8192
253,253,0.1175042999998368,3892.746690079628,10,8192
254,254,0.11761999999998807,3892.746690079628,10,8192
255,255,0.11773629999993318,3892.746690079628,10,8192
256,256,0.11785399999985202,3892.746690079628,10,8192
257,257,0.1313966000000164,3892.746690079628,10,8192
258,258,0.13171669999996993,3892.746690079628,10,8192
259,259,0.1319768999999269,3892.746690079628,10,8192
260,260,0.1322267999998985,3892.746690079628,10,8192
261,261,0.13246060000005855,3892.746690079628,10,8192
262,262,0.13267569999993611,3892.746690079628,10,8192
263,263,0.13279659999989235,3892.746690079628,10,8192
264,264,0.1329160000000229,3892.746690079628,10,8192
265,265,0.13303350000001046,3893.921670035472,10,8192
266,266,0.13319209999986015,3893.921670035472,10,8192
267,267,0.13334880000002158,3893.921670035472,10,8192
268,268,0.13346699999988232,3893.921670035472,10,8192
269,269,0.13358359999983804,3893.921670035472,10,8192
270,270,0.1337025000000267,3893.921670035472,10,8192
271,271,0.13382019999994554,3893.921670035472,10,8192
272,272,0.1339379999999437,3893.921670035472,10,8192
273,273,0.1340556000000106,3893.921670035472,10,8192
274,274,0.13417249999997694,3893.921670035472,10,8192
275,275,0.13429270000006,3893.921670035472,10,8192
276,276,0.13441069999998945,3893.921670035472,10,8192
277,277,0.13452680000000328,3893.921670035472,10,8192
278,278,0.13464229999999588,3893.921670035472,10,8192
279,279,0.13477079999984198,3893.921670035472,10,8192
280,280,0.13488940000002003,3893.921670035472,10,8192
281,281,0.13500780000003942,3893.5388359092713,10,8192
282,282,0.13517189999993207,3893.5388359092713,10,8192
283,283,0.13529479999988325,3893.5388359092713,10,8192
284,284,0.13541510000004564,3893.5388359092713,10,8192
285,285,0.1355329000000438,3893.5388359092713,10,8192
286,286,0.1356501999998727,3893.323402310566,10,8192
287,287,0.13581299999987095,3893.323402310566,10,8192
288,288,0.13593139999989035,3893.323402310566,10,8192
289,289,0.1360505000000103,3893.323402310566,10,8192
290,290,0.13616879999995035,3893.323402310566,10,8192
291,291,0.13629059999993842,3893.323402310566,10,8192
292,292,0.13641099999995276,3893.323402310566,10,8192
293,293,0.13653009999984533,3893.323402310566,10,8192
294,294,0.1366502999999284,3893.323402310566,10,8192
295,295,0.13676999999984218,3893.323402310566,10,8192
296,296,0.1368886999998722,3893.323402310566,10,8192
297,297,0.1370084999998653,3893.323402310566,10,8192
298,298,0.13712680000003274,3893.323402310566,10,8192
299,299,0.13724469999988287,3893.323402310566,10,8192
300,300,0.1373707000000195,3893.323402310566,10,8192
301,301,0.13749050000001262,3893.323402310566,10,8192
302,302,0.13760979999983647,3893.323402310566,10,8192
303,303,0.13772930000004635,3893.323402310566,10,8192
304,304,0.13784929999997075,3893.323402310566,10,8192
305,305,0.1379692000000432,3893.323402310566,10,8192
306,306,0.1380893999998989,3893.323402310566,10,8192
307,307,0.1382086999999501,3893.323402310566,10,8192
308,308,0.13833299999987503,3893.323402310566,10,8192
309,309,0.13845339999988937,3893.7062364367666,10,8192
310,310,0.13861699999984012,3893.7062364367666,10,8192
311,311,0.13873880000005556,3893.7062364367666,10,8192
312,312,0.1388589000000593,3893.7062364367666,10,8192
313,313,0.1389791999999943,3893.7062364367666,10,8192
314,314,0.13910149999992427,3893.7062364367666,10,8192
315,315,0.13922349999984363,3893.7062364367666,10,8192
316,316,0.13941569999997228,3893.7062364367666,10,8192
317,317,0.139539300000024,3893.7062364367666,10,8192
318,318,0.1396614000000227,3893.7062364367666,10,8192
319,319,0.13978210000004765,3893.7062364367666,10,8192
320,320,0.1399036000000251,3893.7062364367666,10,8192
321,321,0.14002430000005006,3893.7062364367666,10,8192
322,322,0.14014469999983703,3893.7062364367666,10,8192
323,323,0.14026620000004186,3893.323402310566,10,8192
324,324,0.14043979999996736,3893.323402310566,10,8192
325,325,0.14056189999996604,3893.323402310566,10,8192
326,326,0.14068199999996978,3893.323402310566,10,8192
327,327,0.14080349999994723,3893.323402310566,10,8192
328,328,0.14092439999990347,3893.323402310566,10,8192
329,329,0.1410449999998491,3893.323402310566,10,8192
330,330,0.14116569999987405,3893.323402310566,10,8192
331,331,0.14129189999994196,3893.323402310566,10,8192
332,332,0.1414151999999831,3893.323402310566,10,8192
333,333,0.1415371000000505,3893.323402310566,10,8192
334,334,0.14165920000004917,3893.323402310566,10,8192
335,335,0.14178169999991042,3893.323402310566,10,8192
336,336,0.1419040999999197,3893.323402310566,10,8192
337,337,0.142024900000024,3893.323402310566,10,8192
